ts;te;td;sa;da;sp;dp;pr;flg;ipkt;ibyt
11/01/13 07:49;01/03/13 23:52;4.294.967.151;10.1.1.10;177.21.244.27;10497;80;TCP;.A..SF;4;186
11/01/13 07:49;01/03/13 23:52;4.294.967.151;177.21.244.27;10.1.1.10;80;10497;TCP;.A..SF;2;88
11/01/13 07:49;01/03/13 23:52;4.294.967.266;10.1.1.10;177.21.244.27;57472;80;TCP;.A..SF;4;186
11/01/13 07:49;01/03/13 23:52;4.294.967.266;177.21.244.27;10.1.1.10;80;57472;TCP;.A..SF;3;128
11/01/13 07:49;01/03/13 23:52;4.294.967.268;10.1.1.10;177.21.244.27;23140;80;TCP;.A..SF;4;186
11/01/13 07:49;01/03/13 23:52;4.294.967.268;177.21.244.27;10.1.1.10;80;23140;TCP;.A..SF;2;88
11/01/13 07:49;01/03/13 23:52;4.294.967.267;10.1.1.10;177.21.244.27;8805;80;TCP;.A..SF;4;186
11/01/13 07:49;01/03/13 23:52;4.294.967.267;177.21.244.27;10.1.1.10;80;8805;TCP;.A..SF;3;128
11/01/13 07:49;01/03/13 23:52;4.294.967.266;10.1.1.10;177.21.244.27;31730;80;TCP;.A..SF;4;186
11/01/13 07:49;01/03/13 23:52;4.294.967.266;177.21.244.27;10.1.1.10;80;31730;TCP;.A..SF;2;88
11/01/13 07:49;01/03/13 23:52;4.294.967.294;10.1.1.10;23.44.84.42;59135;443;TCP;.A....;1;46
11/01/13 07:49;01/03/13 23:52;4.294.967.294;23.44.84.42;10.1.1.10;443;59135;TCP;.AP..F;2;117
11/01/13 07:49;01/03/13 23:52;4.294.967.267;10.1.1.10;177.21.244.27;40164;80;TCP;.A..SF;4;186
11/01/13 07:49;01/03/13 23:52;4.294.967.267;177.21.244.27;10.1.1.10;80;40164;TCP;.A..SF;2;88
11/01/13 07:49;01/03/13 23:52;4.294.966.851;10.1.1.26;200.19.73.110;161;47759;UDP;......;31;10299
11/01/13 07:49;01/03/13 23:52;4.294.966.851;200.19.73.110;10.1.1.26;47759;161;UDP;......;31;7197
01/03/13 23:52;01/03/13 23:52;0.000;10.1.1.26;200.19.73.110;161;35054;UDP;......;1;77
01/03/13 23:52;01/03/13 23:52;0.000;200.19.73.110;10.1.1.26;35054;161;UDP;......;1;76
11/01/13 07:49;01/03/13 23:52;4.294.967.141;10.1.1.10;177.21.244.27;10410;80;TCP;.A..SF;4;186
11/01/13 07:49;01/03/13 23:52;4.294.967.141;177.21.244.27;10.1.1.10;80;10410;TCP;.A..SF;2;88
11/01/13 07:49;01/03/13 23:52;4.294.967.265;10.1.1.10;177.21.244.27;12343;80;TCP;.A..SF;4;186
11/01/13 07:49;01/03/13 23:52;4.294.967.265;177.21.244.27;10.1.1.10;80;12343;TCP;.A..SF;3;128
11/01/13 07:53;01/03/13 23:52;4.294.748.945;10.1.1.10;200.20.186.76;16654;123;UDP;......;2;152
11/01/13 07:53;01/03/13 23:52;4.294.748.945;200.20.186.76;10.1.1.10;123;16654;UDP;......;2;152
11/01/13 07:49;01/03/13 23:52;4.294.967.267;10.1.1.10;177.21.244.27;58118;80;TCP;.A..SF;4;186
